#prefix,#country_code,#region,#city,#postal
38.69.16.0/24,US,US-AL,Moundville,35474
38.69.17.0/24,US,US-AL,Moundville,35474
38.69.18.0/24,US,US-AL,Moundville,35474
38.69.19.0/24,US,US-AL,Moundville,35474
38.69.20.0/24,US,US-AL,Moundville,35474
38.69.21.0/24,US,US-AL,Moundville,35474
38.69.22.0/24,US,US-AL,Moundville,35474
38.69.23.0/24,US,US-AL,Moundville,35474
137.119.112.0/22,US,US-AL,Moundville,35474
38.2.224.0/24,US,US-LA,Carlyss,70665
38.2.225.0/24,US,US-LA,Carlyss,70665
38.2.226.0/24,US,US-LA,Carlyss,70665
38.2.227.0/24,US,US-LA,Carlyss,70665
38.2.228.0/24,US,US-LA,Carlyss,70665
38.2.229.0/24,US,US-LA,Carlyss,70665
38.2.230.0/24,US,US-LA,Carlyss,70665
38.2.231.0/24,US,US-LA,Carlyss,70665
38.86.200.0/21,US,US-LA,Carlyss,70665
38.92.80.0/21,US,US-LA,Carlyss,70665
38.110.184.0/21,US,US-LA,Carlyss,70665
50.58.218.0/23,US,US-LA,Carlyss,70665
64.42.152.0/21,US,US-LA,Carlyss,70665
64.132.31.0/24,US,US-LA,Carlyss,70665
64.226.144.0/21,US,US-LA,Carlyss,70665
64.195.110.0/24,US,US-LA,Carlyss,70665
66.199.30.0/24,US,US-LA,Carlyss,70665
67.22.192.0/20,US,US-LA,Carlyss,70665
173.226.218.0/24,US,US-LA,Carlyss,70665
173.227.70.0/24,US,US-LA,Carlyss,70665
174.46.0.0/24,US,US-LA,Carlyss,70665
174.46.53.0/24,US,US-LA,Carlyss,70665
174.47.173.0/24,US,US-LA,Carlyss,70665
199.227.33.0/24,US,US-LA,Carlyss,70665
199.227.176.0/24,US,US-LA,Carlyss,70665
207.12.233.0/24,US,US-LA,Carlyss,70665
207.71.54.0/24,US,US-LA,Carlyss,70665
207.191.12.0/23,US,US-LA,Carlyss,70665
207.191.14.0/24,US,US-LA,Carlyss,70665
207.191.72.0/24,US,US-LA,Carlyss,70665
207.191.102.0/24,US,US-LA,Carlyss,70665
207.191.109.0/24,US,US-LA,Carlyss,70665
207.191.126.0/24,US,US-LA,Carlyss,70665
207.201.224.0/24,US,US-LA,Carlyss,70665
207.201.249.0/24,US,US-LA,Carlyss,70665
207.235.46.0/24,US,US-LA,Carlyss,70665
207.235.115.0/24,US,US-LA,Carlyss,70665
209.12.25.0/24,US,US-LA,Carlyss,70665
209.12.26.0/24,US,US-LA,Carlyss,70665
209.12.34.0/23,US,US-LA,Carlyss,70665
209.12.110.0/24,US,US-LA,Carlyss,70665
209.12.122.0/24,US,US-LA,Carlyss,70665
209.12.128.0/24,US,US-LA,Carlyss,70665
209.12.232.0/23,US,US-LA,Carlyss,70665
209.83.21.0/24,US,US-LA,Carlyss,70665
209.124.132.0/24,US,US-LA,Carlyss,70665
209.124.134.0/24,US,US-LA,Carlyss,70665
209.124.141.0/24,US,US-LA,Carlyss,70665
209.136.70.0/23,US,US-LA,Carlyss,70665
209.136.82.0/23,US,US-LA,Carlyss,70665
209.136.99.0/24,US,US-LA,Carlyss,70665
209.136.103.0/24,US,US-LA,Carlyss,70665
209.136.122.0/23,US,US-LA,Carlyss,70665
209.136.140.0/24,US,US-LA,Carlyss,70665
209.163.160.0/24,US,US-LA,Carlyss,70665
209.163.185.0/24,US,US-LA,Carlyss,70665
209.194.23.0/24,US,US-LA,Carlyss,70665
209.194.25.0/24,US,US-LA,Carlyss,70665
216.54.239.0/24,US,US-LA,Carlyss,70665
216.84.141.0/24,US,US-LA,Carlyss,70665
216.84.142.0/23,US,US-LA,Carlyss,70665
216.110.70.0/24,US,US-LA,Carlyss,70665
66.55.18.0/24,US,US-LA,Carlyss,70665
66.55.19.0/24,US,US-LA,Carlyss,70665
209.124.142.0/24,US,US-LA,Carlyss,70665
38.2.232.0/21,US,US-NE,Omaha,68108
38.22.208.0/21,US,US-NE,Omaha,68108
38.45.192.0/21,US,US-NE,Omaha,68108
38.69.24.0/21,US,US-NE,Omaha,68108
38.110.176.0/21,US,US-NE,Omaha,68108
66.241.160.0/19,US,US-NE,Omaha,68108
199.27.124.0/22,US,US-NE,Omaha,68108
209.74.224.0/20,US,US-NE,Omaha,68108
209.222.176.0/20,US,US-NE,Omaha,68108
216.145.151.0/24,US,US-NE,Omaha,68108
216.145.154.0/24,US,US-NE,Omaha,68108
